region,person_id,frame,fps,cx,cy,datetime
1,1,186,15.0,357,282,2025-05-20 23:48:20
3,22,278,15.0,183,30,2025-05-20 23:48:31
3,26,337,15.0,148,47,2025-05-20 23:48:38
3,35,544,15.0,142,50,2025-05-20 23:49:01
1,20,556,15.0,356,277,2025-05-20 23:49:02
1,39,617,15.0,322,289,2025-05-20 23:49:09
1,42,651,15.0,294,264,2025-05-20 23:49:13
1,43,654,15.0,284,286,2025-05-20 23:49:14
4,40,668,15.0,33,316,2025-05-20 23:49:16
1,47,685,15.0,267,263,2025-05-20 23:49:18
1,52,816,15.0,174,307,2025-05-20 23:49:33
3,53,816,15.0,275,74,2025-05-20 23:49:33
3,55,852,15.0,254,79,2025-05-20 23:49:38
2,47,868,15.0,142,246,2025-05-20 23:49:39
2,43,876,15.0,123,249,2025-05-20 23:49:40
3,60,921,15.0,223,97,2025-05-20 23:49:45
1,7,937,15.0,356,271,2025-05-20 23:49:47
2,66,1075,15.0,163,151,2025-05-20 23:50:03
3,47,1118,15.0,146,133,2025-05-20 23:50:08
3,68,1146,15.0,141,122,2025-05-20 23:50:11
2,7,1147,15.0,148,218,2025-05-20 23:50:12
3,71,1188,15.0,147,108,2025-05-20 23:50:16
3,7,1276,15.0,123,133,2025-05-20 23:50:27
3,78,1330,15.0,154,74,2025-05-20 23:50:33
4,82,1336,15.0,76,323,2025-05-20 23:50:34
3,88,1500,15.0,156,74,2025-05-20 23:50:53
3,93,1632,15.0,168,131,2025-05-20 23:51:08
2,93,1651,15.0,164,144,2025-05-20 23:51:11
2,95,1700,15.0,158,175,2025-05-20 23:51:16
4,99,1829,15.0,64,351,2025-05-20 23:52:04
1,100,1835,15.0,179,263,2025-05-20 23:52:08
1,94,1943,15.0,347,259,2025-05-20 23:53:21
2,99,1952,15.0,104,252,2025-05-20 23:53:27
2,102,1965,15.0,129,248,2025-05-20 23:53:37
1,106,2041,15.0,176,278,2025-05-20 23:54:29
1,99,2075,15.0,178,267,2025-05-20 23:54:52
2,94,2173,15.0,150,224,2025-05-20 23:55:58
3,94,2328,15.0,161,134,2025-05-20 23:57:40
